ก	k ɔː ˧
ก.	k ɔː ˧
ก.ค.	k ɔː ˧ . kʰ ɔː ˧
ก.ท.ม.	k ɔː ˧ . tʰ ɔː ˧ . m ɔː ˧
ก.พ.	k ɔː ˧ . pʰ ɔː ˧
ก.ย.	k ɔː ˧ . j ɔː ˧
กก	k o k̚ ˨˩
กก	k o k
กกต.	k ɔː ˧ . k ɔː ˧ . t ɔː ˧
กกุท	k a ˨˩ . k u t̚ ˨˩
กกุธภัณฑ์	k a ˨˩ . k u t̚ ˨˩ . tʰ a ˦˥ . pʰ a n ˧
กกุสันธ	k a ˨˩ . k u ˨˩ . s a n ˩˩˦ . tʰ aʔ ˦˥
กกุสันธะ	k a ˨˩ . k u ˨˩ . s a n ˩˩˦ . tʰ aʔ ˦˥
กขค.	k ɔː ˧ . kʰ ɔː ˩˩˦ . kʰ ɔː ˧
กง	k o ŋ
กง	k o ŋ ˧
กงกาง	k o ŋ ˧ . k aː ŋ ˧
กงการ	k o ŋ ˧ . k aː n ˧
กงล้อ	k o ŋ ˧ . l ɔː ˦˥
กงศุล	k o ŋ ˧ . s u n ˩˩˦
กงสี	k o ŋ ˧ . s iː ˩˩˦
กงสุล	k o ŋ ˧ . s u n ˩˩˦
กงเวียน	k o ŋ ˧ . w ia̯ n ˧
กฎ	k o t̚ ˨˩
กฎข้อบังคับ	k o t̚ ˨˩ . kʰ ɔː ˥˩ . b a ŋ ˧ . kʰ a p̚ ˦˥
กฎจราจร	k o t̚ ˨˩ . t͡ɕ a ˨˩ . r aː ˧ . t͡ɕ ɔː n ˧
กฎบัตร	k o t̚ ˨˩ . b a t̚ ˨˩
กฎมนเทียรบาล	k o t̚ ˨˩ . m o n ˧ . tʰ ia̯ n ˧ . b aː n ˧
กฎหมาย	k o t̚ ˨˩ . m aːj ˩˩˦
กฎหมายปกครอง	k o t̚ ˨˩ . m aːj ˩˩˦ . p o k̚ ˨˩ . kʰ r ɔː ŋ ˧
กฎหมายมนุษยธรรมระหว่างประเทศ	k o t̚ ˨˩ . m aːj ˩˩˦ . m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ . tʰ a m ˧ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩
กฎหมายมหาชน	k o t̚ ˨˩ . m aːj ˩˩˦ . m a ˦˥ . h aː ˩˩˦ . t͡ɕʰ o n ˧
กฎหมายระหว่างประเทศ	k o t̚ ˨˩ . m aːj ˩˩˦ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩
กฎหมายระหว่างประเทศแผนกคดีบุคคล	k o t̚ ˨˩ . m aːj ˩˩˦ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩ . pʰ a ˨˩ . n ɛː k̚ ˨˩ . kʰ a ˦˥ . d iː ˧ . b u k̚ ˨˩ . kʰ o n ˧
กฎหมายระหว่างประเทศแผนกคดีเมือง	k o t̚ ˨˩ . m aːj ˩˩˦ . r a ˦˥ . w aː ŋ ˨˩ . p r a ˨˩ . tʰ eː t̚ ˥˩ . pʰ a ˨˩ . n ɛː k̚ ˨˩ . kʰ a ˦˥ . d iː ˧ . m ɯa̯ ŋ ˧
กฎหมายรัฐธรรมนูญ	k o t̚ ˨˩ . m aːj ˩˩˦ . r a t̚ ˦˥ . tʰ a ˨˩ . tʰ a m ˧ . m a ˦˥ . n uː n ˧
กฎหมายเหตุ	k o t̚ ˨˩ . m aːj ˩˩˦ . h eː t̚ ˨˩
กฎหมายเอกชน	k o t̚ ˨˩ . m aːj ˩˩˦ . ʔ eː k̚ ˨˩ . k a ˨˩ . t͡ɕʰ o n ˧
กฎอัยการศึก	k o t̚ ˨˩ . ʔ aj ˧ . j a ˦˥ . k aː n ˧ . s ɯ k̚ ˨˩
กฎเกณฑ์	k o t̚ ˨˩ . k eː n ˧
กฏ	k o t̚ ˨˩
กฐิน	k a ˨˩ . tʰ i n ˩˩˦
กฐิน	k a ˨˩ . tʰ i n ˩˩˦ .
กฐิน	k a ˨˩ . tʰ i n ˩˩˦ . n a ˦˥ .
กด	k o t̚ ˨˩
กดขี่	k o t̚ ˨˩ . kʰ iː ˨˩
กดดัน	k o t̚ ˨˩ . d a n ˧
กตัญญุตา	k a ˨˩ . t a n ˧ . j u ˦˥ . t aː ˧
กตัญญู	k a ˨˩ . t a n ˧ . j uː ˧
กติกา	k a ˨˩ . t i ˨˩ . k aː ˧
กติกาสัญญา	k a ˨˩ . t i ˨˩ . k aː ˧ . s a n ˩˩˦ . j aː ˧
กตเวที	k a ˨˩ . t a ˨˩ . w eː ˧ . tʰ iː ˧
กถา	k a ˨˩ . tʰ aː ˩˩˦
กทม.	k ɔː ˧ . tʰ ɔː ˧ . m ɔː ˧
กน	k o n ˧
กนก	k a ˨˩ . n o k̚ ˨˩
กบ	k o p̚ ˨˩
กบ	k ɔː ˧ . b ɔː ˧
กบฏ	k a ˨˩ . b o t̚ ˨˩
กบดาน	k o p̚ ˨˩ . d aː n ˧
กบนา	k o p̚ ˨˩ . n aː ˧
กบาล	kᵊ b aː l
กบาล	k a ˨˩ . b aː n ˧
กบเลือกนาย	k o p̚ ˨˩ . lɯ a̯ k̚ ˥˩ . n aːj ˧
กบเหลา	k o p̚ ˨˩ . l aw ˩˩˦
กบเหลาดินสอ	k o p̚ ˨˩ . l aw ˩˩˦ . d i n ˧ . s ɔː ˩˩˦
กบในกะลา	k o p̚ ˨˩ . n aj ˧ . k a ˨˩ . l aː ˧
กบในกะลาครอบ	k o p̚ ˨˩ . n aj ˧ . k a ˨˩ . l aː ˧ . kʰ r ɔː p̚ ˥˩
กบไสไม้	k o p̚ ˨˩ . s aj ˩˩˦ . m aːj ˦˥
กม	k o m ˧
กมรเตง	k a ˨˩ . m a ˦˥ . r a ˦˥ . t e ŋ ˧
กมรเตง	k a m ˧ . m a ˦˥ . r a ˦˥ . t e ŋ ˧
กมรเตงอัญ	k a ˨˩ . m a ˦˥ . r a ˦˥ . t e ŋ ˧ . ʔ a n ˧
กมรเตงอัญ	k a m ˧ . m a ˦˥ . r a ˦˥ . t e ŋ ˧ . ʔ a n ˧
กร	k ɔː n ˧
กรกฎ	k ɔː ˧ . r a ˦˥ . k o t̚ ˨˩
กรกฎา	k a ˨˩ . r a ˦˥ . k a ˨˩ . d aː ˧
กรกฎา	k a ˨˩ . r a k̚ ˦˥ . k a ˨˩ . d aː ˧
กรกฎาคม	k a ˨˩ . r a ˦˥ . k a ˨˩ . d aː ˧ . kʰ o m ˧
กรกฎาคม	k a ˨˩ . r a k̚ ˦˥ . k a ˨˩ . d aː ˧ . kʰ o m ˧
กรง	k r o ŋ ˧
กรงขัง	k r o ŋ ˧ . kʰ a ŋ ˩˩˦
กรงเล็บ	k r o ŋ ˧ . l e p̚ ˦˥
กรณี	k a ˨˩ . r a ˦˥ . n iː ˧
กรณี	k ɔː ˧ . r a ˦˥ . n iː ˧
กรณีพิพาท	k ɔː ˧ . r a ˦˥ . n iː ˧ . pʰ i ˦˥ . pʰ aː t̚ ˥˩
กรณีพิพาท	k a ˨˩ . r a ˦˥ . n iː ˧ . pʰ i ˦˥ . pʰ aː t̚ ˥˩
กรด	k r o t̚ ˨˩
กรดไขมัน	k r o t̚ ˨˩ . kʰ aj ˩˩˦ . m a n ˧
กรดไขมันอิ่มตัว	k r o t̚ ˨˩ . kʰ aj ˩˩˦ . m a n ˧ . ʔ i m ˨˩ . t ua̯ ˧
กรดไขมันไม่อิ่มตัว	k r o t̚ ˨˩ . kʰ aj ˩˩˦ . m a n ˧ . m aj ˥˩ . ʔ i m ˨˩ . t ua̯ ˧
กรน	k r o n ˧
กรม	k r o m ˧
กรม	k r o m ˧ .
กรม	k r o m ˧ . m a ˦˥ .
กรมธรรม	k r o m ˧ . m a ˦˥ . tʰ a m ˧
กรมธรรม์	k r o m ˧ . m a ˦˥ . tʰ a n ˧
กรรตุการก	k a t̚ ˨˩ . t u ˨˩ . k aː ˧ . r o k̚ ˦˥
กรรตุการก	k a n ˧ . t u ˨˩ . k aː ˧ . r o k̚ ˦˥
กรรปุระ	k a n ˧ . p u ˨˩ . r aʔ ˦˥
กรรม	k a m ˧
กรรม	k a m ˧ . m a ˦˥ .
กรรมกร	k a m ˧ . m a ˦˥ . k ɔː n ˧
กรรมการ	k a m ˧ . m a ˦˥ . k aː n ˧
กรรมการก	k a m ˧ . m a ˦˥ . k aː ˧ . r o k̚ ˦˥
กรรมตามสนอง	k a m ˧ . t aː m ˧ . s a ˨˩ . n ɔː ŋ ˩˩˦
กรรมวาจก	k a m ˧ . m a ˦˥ . w aː ˧ . t͡ɕ o k̚ ˨˩
กรรมสาร	k a m ˧ . m a ˦˥ . s aː n ˩˩˦
กรรมาชีพ	k a m ˧ . m aː ˧ . t͡ɕʰ iː p̚ ˥˩
กรรมาชีพ	k a n ˧ . m aː ˧ . t͡ɕʰ iː p̚ ˥˩
กรรเชียง	k a n ˧ . t͡ɕʰ ia̯ ŋ ˧
